transactionHash	asset	assetReference	blockTimestamp	blockHeight	exchangeRate	trace#	address	direction	amount	name	category
66bec13b302443105cf96685b4e0c5f677b870ee35ab0bc4f1f4b32f6b706f02	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-03T07:54:24Z	70111948	0.9997232287566076	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	5250.797877	OKX.com	exchange
66bec13b302443105cf96685b4e0c5f677b870ee35ab0bc4f1f4b32f6b706f02	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-03T07:54:24Z	70111948	0.9997232287566076	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	5250.797877		
5556f90468bf8d6a114dbd0d23f9af6f6247cfc116a4e4eb1963214c003703f8	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-04T14:00:30Z	70148060	0.9998422905371616	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	56032.587292	OKX.com	exchange
5556f90468bf8d6a114dbd0d23f9af6f6247cfc116a4e4eb1963214c003703f8	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-04T14:00:30Z	70148060	0.9998422905371616	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	56032.587292		
1c4c3b99e392f00e7a4532b270e5c0e17de0bced80a94dd2ab5374c0efb2ac93	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-04T15:22:33Z	70149701	0.9997870782678174	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	22571.930982	OKX.com	exchange
1c4c3b99e392f00e7a4532b270e5c0e17de0bced80a94dd2ab5374c0efb2ac93	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-04T15:22:33Z	70149701	0.9997870782678174	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	22571.930982		
c08e031557b903d72292ff39193e8c49bca76a9f59eb8a057188103e2cb5e784	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-05T09:24:33Z	70171335	1.0000615549386294	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	48	OKX.com	exchange
c08e031557b903d72292ff39193e8c49bca76a9f59eb8a057188103e2cb5e784	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-05T09:24:33Z	70171335	1.0000615549386294	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	48		
503e1409c36088bebb051566b0b1f36f9182cb6a741c0b92f03416738bb64e54	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-05T14:01:18Z	70176868	1.0001496622275488	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	33857.749515	OKX.com	exchange
503e1409c36088bebb051566b0b1f36f9182cb6a741c0b92f03416738bb64e54	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-05T14:01:18Z	70176868	1.0001496622275488	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	33857.749515		
fdd4be908b0a27d129719ea82b641e0f86a02192bbb585358f96b0860c849006	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-06T11:18:24Z	70202404	1.0001209561736526	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	98	OKX.com	exchange
fdd4be908b0a27d129719ea82b641e0f86a02192bbb585358f96b0860c849006	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-06T11:18:24Z	70202404	1.0001209561736526	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	98		
5cfdaa27a0b0e6bad63198adc4eb1c13ac5f6c652580a4a2209a0d85647ee205	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-07T08:21:24Z	70227656	1.000085432966207	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	48	OKX.com	exchange
